year,sp500_total_return,inflation,real_return
1928,0.438112,-0.011561,0.454932
1929,-0.082979,0.005848,-0.088311
1930,-0.251236,-0.063953,-0.200079
1931,-0.438375,-0.093168,-0.380674
1932,-0.086424,-0.102740,0.018184
1933,0.499822,0.007634,0.488460
1934,-0.011886,0.015152,-0.026634
1935,0.467404,0.029851,0.424871
1936,0.319434,0.014493,0.300585
1937,-0.353367,0.028571,-0.371329
1938,0.292827,-0.027778,0.329764
1939,-0.010976,0.000000,-0.010976
1940,-0.106729,0.007143,-0.113064
1941,-0.127715,0.099291,-0.206502
1942,0.191738,0.090323,0.093014
1943,0.250613,0.029586,0.214676
1944,0.190307,0.022988,0.163558
1945,0.358211,0.022472,0.328360
1946,-0.084291,0.181319,-0.224842
1947,0.052000,0.088372,-0.033419
1948,0.057046,0.029915,0.026343
1949,0.183032,-0.020747,0.208096
1950,0.308055,0.059322,0.234804
1951,0.236785,0.060000,0.166778
1952,0.181510,0.007547,0.172660
1953,-0.012082,0.007491,-0.019427
1954,0.525633,-0.007435,0.537061
1955,0.325973,0.003745,0.321026
1956,0.074395,0.029851,0.043253
1957,-0.104574,0.028986,-0.129797
1958,0.437200,0.017606,0.412335
1959,0.120565,0.017301,0.101507
1960,0.003365,0.013605,-0.010103
1961,0.266377,0.006711,0.257935
1962,-0.088115,0.013333,-0.100113
1963,0.226119,0.016447,0.206279
1964,0.164155,0.009709,0.152961
1965,0.123992,0.019231,0.102785
1966,-0.099710,0.034591,-0.129810
1967,0.238030,0.030395,0.201510
1968,0.108149,0.047198,0.058204
1969,-0.082414,0.061972,-0.135960
1970,0.035611,0.055703,-0.019031
1971,0.142212,0.032663,0.106083
1972,0.187554,0.034063,0.148434
1973,-0.143080,0.087059,-0.211708
1974,-0.259018,0.123377,-0.340397
1975,0.369951,0.069364,0.281090
1976,0.238310,0.048649,0.180863
1977,-0.069797,0.067010,-0.128216
1978,0.065093,0.090177,-0.023009
1979,0.185195,0.132939,0.046124
1980,0.317352,0.125163,0.170810
1981,-0.047024,0.089224,-0.125087
1982,0.204191,0.038298,0.159774
1983,0.223372,0.037910,0.178688
1984,0.061461,0.039487,0.021140
1985,0.312351,0.037987,0.264324
1986,0.184946,0.010979,0.172078
1987,0.058127,0.044344,0.013198
1988,0.165372,0.044194,0.116049
1989,0.314752,0.046473,0.256365
1990,-0.030645,0.061063,-0.086430
1991,0.302348,0.030643,0.263627
1992,0.074937,0.029007,0.044636
1993,0.099671,0.027484,0.070256
1994,0.013259,0.026749,-0.013138
1995,0.371952,0.025384,0.337988
1996,0.226810,0.033225,0.187360
1997,0.331037,0.017024,0.308756
1998,0.283380,0.016119,0.263021
1999,0.208854,0.026846,0.177250
2000,-0.090318,0.033868,-0.120118
2001,-0.118498,0.015517,-0.131967
2002,-0.219660,0.023769,-0.237778
2003,0.283558,0.018795,0.259879
2004,0.107428,0.032556,0.072512
2005,0.048345,0.034157,0.013720
2006,0.156126,0.025406,0.127480
2007,0.054847,0.040813,0.013484
2008,-0.365523,0.000914,-0.366103
2009,0.259352,0.027213,0.225989
2010,0.148211,0.014957,0.131290
2011,0.020984,0.029624,-0.008392
2012,0.158906,0.017410,0.139074
2013,0.321451,0.015017,0.301900
2014,0.135244,0.007565,0.126721
2015,0.013789,0.007295,0.006447
2016,0.117731,0.020746,0.095013
2017,0.216055,0.021091,0.190937
2018,-0.042269,0.019102,-0.060220
2019,0.312117,0.022851,0.282803
2020,0.180232,0.013620,0.164373
2021,0.284689,0.070364,0.200235
2022,-0.180375,0.064544,-0.230069
2023,0.260607,0.033521,0.219720
2024,0.248786,0.028881,0.213733
2025,0.177237,0.027351,0.145895
