year,real_median_hh_income
1950,36634
1951,36634
1952,36634
1953,36634
1954,35594
1955,37952
1956,40390
1957,40641
1958,40569
1959,42765
1960,43706
1961,44163
1962,45418
1963,46969
1964,48896
1965,50823
1966,53521
1967,54633
1968,57178
1969,59939
1970,59787
1971,59769
1972,62503
1973,63856
1974,62252
1975,61104
1976,63023
1977,63354
1978,65344
1979,66276
1980,64062
1981,62270
1982,61463
1983,61875
1984,63865
1985,65081
1986,67491
1987,68336
1988,68844
1989,70017
1990,69172
1991,67153
1992,66603
1993,66275
1994,66983
1995,69108
1996,70123
1997,71582
1998,74203
1999,76084
2000,75884
2001,74636
2002,74034
2003,74076
2004,73960
2005,75112
2006,75947
2007,77173
2008,74541
2009,74066
2010,72321
2011,71254
2012,71243
2013,73939
2014,72998
2015,76941
2016,79678
2017,81084
2018,82131
2019,88008
2020,86232
2021,85904
2022,84033
2023,87405
2024,88504
